timestamp,device_id,source,frame_id,track_id,n_potholes_in_group,width_cm,height_cm,box_area_cm2,pixel_area_cm2,box_area_m2,pixel_area_m2,repair_box_w_m,repair_box_h_m,repair_box_area_m2,repair_label,confidence,method,centroid_u,centroid_v,repair_box_x1,repair_box_y1,repair_box_x2,repair_box_y2,gps_lat,gps_lon,alt_m,speed_km,gps_utc,weather,image_file
2026-05-08 20:26:46,RPi_001,rpi_camera,330,3,1,19.9,9.6,191,144,0.0191,0.0144,0.5,0.5,0.2500,0.5m x 0.5m,0.64,IE_KAL,579.1,517.8,370,415,787,619,-33.958667,18.459818,122.2,0.0,080526182640.0,Mostly Clear,
2026-05-08 20:26:46,RPi_001,rpi_camera,331,3,1,19.9,9.6,191,143,0.0191,0.0143,0.5,0.5,0.2500,0.5m x 0.5m,0.65,IE_KAL,578.2,517.7,369,415,786,619,-33.958667,18.459818,122.2,0.0,080526182640.0,Mostly Clear,
2026-05-08 20:26:46,RPi_001,rpi_camera,332,3,1,20.2,9.6,193,145,0.0193,0.0145,0.5,0.5,0.2500,0.5m x 0.5m,0.62,IE_KAL,578.6,517.8,370,415,786,619,-33.958667,18.459818,122.2,0.0,080526182640.0,Mostly Clear,
2026-05-08 20:26:46,RPi_001,rpi_camera,333,3,1,20.2,9.6,193,144,0.0193,0.0144,0.5,0.5,0.2500,0.5m x 0.5m,0.65,IE_KAL,578.8,517.9,370,415,787,619,-33.958667,18.459818,122.2,0.0,080526182640.0,Mostly Clear,
2026-05-08 20:26:46,RPi_001,rpi_camera,334,3,1,19.7,9.6,188,142,0.0188,0.0142,0.5,0.5,0.2500,0.5m x 0.5m,0.73,IE_KAL,578.7,517.9,370,415,787,619,-33.958667,18.459818,122.2,0.0,080526182640.0,Mostly Clear,
2026-05-08 20:26:46,RPi_001,rpi_camera,335,3,1,19.9,9.4,186,142,0.0186,0.0142,0.5,0.5,0.2500,0.5m x 0.5m,0.69,IE_KAL,579.3,517.9,371,416,787,619,-33.958667,18.459818,122.2,0.0,080526182640.0,Mostly Clear,
2026-05-08 20:26:46,RPi_001,rpi_camera,336,3,1,20.2,9.4,189,144,0.0189,0.0144,0.5,0.5,0.2500,0.5m x 0.5m,0.68,IE_KAL,578.9,517.9,370,416,787,619,-33.958667,18.459818,122.2,0.0,080526182640.0,Mostly Clear,
2026-05-08 20:26:47,RPi_001,rpi_camera,337,3,1,20.2,9.6,193,142,0.0193,0.0142,0.5,0.5,0.2500,0.5m x 0.5m,0.66,IE_KAL,578.5,517.9,370,415,786,619,-33.958667,18.459818,122.2,0.0,080526182640.0,Mostly Clear,
2026-05-08 20:26:47,RPi_001,rpi_camera,338,3,1,20.2,9.6,193,143,0.0193,0.0143,0.5,0.5,0.2500,0.5m x 0.5m,0.65,IE_KAL,578.6,517.7,370,415,786,619,-33.958667,18.459818,122.2,0.0,080526182640.0,Mostly Clear,
2026-05-08 20:26:47,RPi_001,rpi_camera,339,3,1,19.9,9.4,186,140,0.0186,0.0140,0.5,0.5,0.2500,0.5m x 0.5m,0.73,IE_KAL,578.5,517.7,370,416,786,619,-33.958667,18.459818,122.2,0.0,080526182640.0,Mostly Clear,
